,0
ARS,-98.66705213883652
TRY,-89.50310630787274
EGP,-77.50834823607752
KZT,-43.47196111601963
PKR,-42.39727667930817
UAH,-39.761835336579246
BRL,-30.462432110664228
JPY,-23.97438605353333
COP,-14.398569814875263
RUB,-13.87423467364148
CLP,-1.4978426589874634
ZAR,0.05682166896260816
NOK,4.120224179970199
HUF,4.860350376646008
MXN,16.95439023044211
INR,19.15013070120547
AUD,20.65113334083077
KRW,21.200356544316907
RON,21.87858061446506
PHP,22.179004463475266
IDR,23.154901240215374
MYR,24.66352931965709
GBP,27.51325661417677
PEN,27.876359301950988
CAD,30.282749958742492
VND,34.084383362293366
DKK,35.897838795818295
CNY,36.30253909309812
EUR,36.46154577246967
PLN,38.62231075895626
NZD,39.49116469453994
SGD,42.54900864424656
ISK,45.27101650453179
CZK,49.33178795533133
TWD,51.684837430195664
KWD,51.98358335022999
THB,53.91576927599415
HKD,57.09653332649869
AED,59.92457541446801
USD,59.95811079656739
QAR,60.01523869328046
SAR,60.034870220570156
CHF,60.48988533705063
ILS,71.61644626300632
SEK,91.48150471871391
