date,AFKS,AFLT,ALRS,BSPB,CBOM,CHMF,FEES,GAZP,GMKN,HYDR,IRAO,LKOH,LSRG,MAGN,MOEX,MSNG,MTLR,MTLRP,MTSS,MVID,NLMK,NVTK,PHOR,PIKK,PLZL,ROSN,RTKM,RTKMP,RUAL,SBER,SBERP,SELG,TATN,TATNP,TGKA,TRNFP,VTBR
2015-10-26,17.85,48.07,54.4,39.95,3.795,715.0,0.06142,138.5,97.0,0.6588,1.19,2298.0,606.0,22.459,95.1,0.819,58.56,40.6,213.5,220.5,71.2,599.7,2605.0,220.0,279.0,250.5,92.53,62.0,26.1,92.3,67.26,4.01,333.5,178.1,0.00405,1514.0,361.5
2015-10-27,17.98,47.23,54.44,37.5,3.76,734.9,0.06206,138.5,97.1,0.6626,1.2155,2350.6,586.0,22.414,92.05,0.8195,59.33,40.22,212.55,221.9,73.68,613.9,2659.0,224.0,278.5,251.5,91.95,61.3,26.5,89.0,65.2,4.0,345.0,183.7,0.004005,1523.0,367.5
2015-10-28,17.83,47.52,53.89,37.65,3.77,717.0,0.06191,138.1,96.7,0.66,1.203,2357.0,608.0,22.62,91.7,0.8155,59.89,40.4,214.0,225.2,74.39,601.3,2635.0,221.5,280.0,253.8,92.74,61.5,25.6,90.05,67.05,4.01,342.4,182.9,0.00409,1515.0,358.95000000000005
2015-10-29,17.62,47.44,52.7,38.95,3.73,731.0,0.06278,136.11,95.03,0.647,1.217,2341.5,594.0,22.732,91.31,0.8175,59.9,40.42,211.2,225.8,76.1,586.5,2644.0,220.0,278.0,255.45,91.8,61.1,25.76,88.6,67.06,4.14,334.95,180.0,0.004085,1494.0,359.79999999999995
2015-10-30,17.66,49.0,51.4,37.9,3.756,742.0,0.06215,135.75,94.87,0.651,1.22,2320.0,619.0,24.07,89.84,0.822,64.79,43.16,208.3,227.7,78.2,584.3,2630.0,222.5,281.5,258.1,93.55,61.3,25.6,90.53,68.49,4.05,328.8,180.9,0.004085,1488.0,361.75
2015-11-02,17.815,49.3,51.38,37.5,3.77,749.7,0.06322,137.8,95.85,0.654,1.2605,2412.0,606.0,23.75,91.99,0.8495,65.99,43.3,211.2,228.5,77.8,587.7,2625.0,221.2,281.0,262.2,94.1,61.6,25.35,93.65,69.45,3.96,336.2,182.3,0.00405,1487.0,362.5
2015-11-03,17.7,52.52,53.03,37.6,3.77,739.2,0.06307,141.75,95.46,0.6729,1.2595,2483.9,597.0,22.97,91.5,0.842,64.22,42.09,209.2,243.5,77.75,591.1,2587.0,241.0,279.5,270.65,94.64,61.95,25.0,95.4,69.95,4.03,344.2,184.8,0.00405,1504.0,369.8
2015-11-05,17.64,51.96,52.2,37.25,3.77,750.0,0.0629,140.97,95.8,0.6684,1.239,2489.6,603.0,22.5,91.3,0.853,63.67,41.31,202.0,240.3,75.68,598.0,2633.0,244.2,273.5,270.0,95.73,63.5,24.58,95.5,70.35,4.01,346.0,186.8,0.00408,1507.0,380.75
2015-11-06,17.715,51.94,52.22,37.5,3.765,747.0,0.06237,137.75,95.13,0.643,1.2185,2511.8,615.5,22.685,90.81,0.8695,62.35,41.39,202.55,238.7,75.24,598.1,2666.0,240.0,262.5,264.75,93.1,62.5,24.95,94.09,68.5,4.04,348.0,188.5,0.00406,1500.0,379.25
2015-11-09,17.51,52.41,52.09,37.45,3.75,741.0,0.06111,136.5,94.99,0.603,1.227,2530.0,627.5,23.0,90.19,0.848,61.8,40.98,200.5,246.7,78.48,606.1,2664.0,235.0,261.0,262.4,93.2,62.7,25.05,92.95,67.95,4.02,346.4,196.5,0.004065,1534.0,380.0
2015-11-10,17.04,51.84,51.59,38.1,3.745,727.0,0.0624,135.58,94.74,0.609,1.2315,2520.0,624.0,22.47,90.5,0.8285,61.39,40.2,194.7,244.5,75.58,616.0,2644.0,231.9,262.0,257.55,91.59,62.35,24.71,94.35,68.06,4.0,346.95,191.8,0.004025,1537.0,378.8
2015-11-11,16.705,53.53,51.4,37.9,3.74,722.6,0.0619,135.0,93.71,0.6005,1.197,2548.0,620.5,21.58,91.0,0.8235,60.01,40.0,193.55,245.0,73.0,596.1,2641.0,232.7,257.5,266.0,90.7,61.35,24.3,94.0,67.5,4.01,345.0,191.7,0.004065,1549.0,380.0
2015-11-12,16.49,53.47,51.2,38.15,3.755,720.0,0.0618,136.6,94.75,0.5924,1.204,2555.0,625.0,22.26,87.28,0.8255,60.03,40.31,195.0,243.1,72.46,591.0,2685.0,232.6,270.5,263.05,88.51,60.55,24.56,94.29,68.3,3.97,340.1,191.3,0.004015,1515.0,377.1
2015-11-13,16.1,53.39,50.81,37.9,3.78,719.4,0.06029,136.0,94.69,0.5655,1.216,2485.0,620.0,21.355,87.24,0.817,60.23,39.69,194.4,236.0,71.08,593.2,2673.0,220.1,264.0,260.7,86.7,59.95,24.26,93.4,69.37,4.01,335.5,189.5,0.00402,1455.0,379.00000000000006
2015-11-16,16.8,52.3,51.05,37.85,3.775,714.6,0.0605,137.21,93.35,0.5641,1.1955,2476.0,615.5,21.1,91.0,0.8175,60.42,40.03,199.05,240.5,71.92,606.1,2646.0,216.9,266.0,263.5,87.55,60.5,23.5,95.8,71.3,3.94,336.25,189.6,0.00401,1445.0,379.4
2015-11-17,17.0,54.9,52.6,38.4,3.81,706.0,0.06128,142.75,93.64,0.5785,1.2405,2524.5,625.5,20.77,94.4,0.826,60.2,40.17,209.85,245.1,71.01,624.5,2750.0,219.0,267.0,271.5,91.0,62.25,24.1,102.5,75.0,4.04,340.2,192.4,0.00402,1518.0,379.75
2015-11-18,17.305,57.09,53.01,39.55,3.795,730.8,0.06303,147.47,96.4,0.5942,1.221,2526.0,630.0,21.19,93.5,0.831,60.9,40.6,214.9,245.6,72.81,631.2,2720.0,216.1,270.0,278.2,93.7,63.95,23.75,104.0,76.1,3.95,342.4,191.4,0.00406,1530.0,380.5
2015-11-19,17.205,56.45,53.95,40.7,3.78,735.4,0.06206,147.5,96.7,0.5894,1.248,2534.0,631.0,20.84,93.09,0.8355,61.8,41.35,214.1,245.0,71.38,620.2,2717.0,218.2,270.5,271.5,92.15,62.55,23.72,104.86,76.5,4.0,349.1,193.6,0.0041,1571.0,381.0
2015-11-20,17.335,57.86,53.6,39.85,3.795,737.1,0.06265,148.05,96.5,0.598,1.205,2540.0,630.5,20.73,92.89,0.8285,61.2,40.84,219.3,246.3,71.95,627.3,2700.0,225.1,271.0,272.9,93.62,62.95,23.76,107.3,77.24,3.9,349.85,196.0,0.004155,1650.0,380.05
2015-11-23,17.725,57.52,54.88,38.85,3.775,735.0,0.0632,152.0,94.92,0.6083,1.2,2652.8,657.0,21.07,94.01,0.829,61.35,40.81,221.7,251.8,72.47,635.0,2772.0,232.1,271.5,274.8,94.0,64.5,24.55,109.98,79.6,3.95,354.45,203.9,0.0043,1730.0,381.5000000000001
