ARS,-87.6700032619751
EGP,-61.92390121512973
TRY,-59.97105094504897
PKR,-21.074159016417365
UAH,-19.574731506325715
JPY,-9.967619429383506
RUB,-9.02894577839477
NOK,-4.104749153652362
KRW,0.6248445708648591
SEK,1.4874978973344726
HUF,1.8225768647418923
NZD,2.4276810095903567
ZAR,3.3722639894666395
KZT,3.542832077503787
TWD,4.528235310812203
PHP,5.8658970305301805
ILS,6.3218148667027965
AUD,6.6469630161876365
CNY,7.793114864612746
CLP,8.167834968171048
IDR,8.807467483850761
INR,9.044061117672399
CAD,10.101503718481727
VND,10.807558136957281
COP,12.271654828631402
RON,12.49446533736216
CZK,12.965505666929747
DKK,13.215518016149646
BRL,13.27649674899659
EUR,13.604378275258172
ISK,15.372832553724441
MYR,15.587451218175765
GBP,15.878119845831797
THB,20.987747445167205
KWD,21.429370149058716
PLN,23.01875377642677
AED,23.615352499261373
QAR,23.63790697385991
USD,23.63790697386047
SGD,23.710830252646925
SAR,23.769752249225277
HKD,24.132999012098487
CHF,26.219904275751478
MXN,26.56374369442922
PEN,32.72746600547722
