Date,AFKS,AFLT,ALRS,AQUA,BSPB,CBOM,CHMF,FEES,GAZP,GMKN,HYDR,IRAO,LKOH,LSRG,MAGN,MOEX,MSNG,MTLR,MTLRP,MTSS,MVID,NLMK,NVTK,PHOR,PIKK,PLZL,RNFT,ROSN,RTKM,RTKMP,RUAL,SBER,SBERP,SELG,TATN,TATNP,TGKA,TRNFP,UPRO,VTBR
2022-03-29,2.2382516855561185,5.83807415383355,16.369882344968495,112.30049618171513,10.211780870409848,1.068503339317908,196.6325440915765,0.017940925555800777,40.34283800655742,38.845498057467886,0.12025269021185385,0.3857783884377054,954.6511955205559,87.82325504504423,8.107358791702405,17.149585271826,0.30063172552963463,16.07894841703659,36.26976301551076,33.88410480646914,41.87509002699879,30.64891952786637,285.1152493732664,1727.7596200116034,97.94775573707452,213.01212423414273,18.037903531778078,71.76370222320311,12.211466735061805,11.152467237389672,12.219224973139989,24.97570793319423,25.369438515662075,9.195451682167727,75.83677721424976,65.30496902311482,0.001229680735392183,201.61721205680982,0.26571965417780613,16.001366036254748
2022-03-30,2.71730385533187,8.160606938332672,19.10808071069371,117.38752655033679,11.910486258690652,1.2208302761235024,229.99259831528948,0.022512318980653475,46.955010620134715,44.48117719024058,0.14032157108933777,0.5428086181410944,1117.355345312465,113.86590075382666,9.347525262341632,19.999356375242563,0.36737948124086883,20.260217545354422,42.60732445160372,50.650543863386055,54.3460771066374,36.303179507233786,313.9029413679376,1728.2052519910694,115.6484520829244,262.469813994216,22.12972259782275,84.12772736107469,13.695211430872625,12.956104782222356,14.233237594228333,29.259927914213574,29.45557379179747,10.351840767272291,85.93201712101506,76.47579970446016,0.0015264726137712312,234.77505310067357,0.3182506275364686,18.646139055287293
2022-03-31,3.1634608739852514,8.583579939909654,21.765993647306676,121.68031976289521,14.160405062500665,1.3118730549390272,250.18383502651352,0.025505104781702932,55.14961483384454,47.70323414405541,0.16227833299219763,0.6198873112406932,1291.8583481369062,128.45802729361347,9.98460941605813,22.630265077398267,0.40848197064328934,23.29893823646913,47.034560984984545,54.278520208252225,61.90912717656089,39.09691021914334,329.7877825349496,1829.7535934439102,135.5541506143655,289.46269712567613,24.427039892588684,99.50493438554514,15.147494011605271,14.806334236569116,15.465909801639016,32.680832049963385,33.183474118516656,10.894368816154543,93.6597302399257,81.03681856358797,0.0017289977398832325,271.3357410787551,0.37777759089003543,22.516545152386215
2022-04-01,3.2337554100249757,9.033096465728512,21.888962105871002,125.60194699125086,14.990749521346881,1.3572925875050834,277.65131043886146,0.02667557198564879,58.528877615570835,50.05452938483584,0.17845021755105425,0.6704978819922196,1303.9786934161186,136.8933175734115,10.61621646487681,25.946871162511414,0.42290257036071766,23.979611751805074,49.28625056171975,54.71076467644847,64.44229643591889,40.322997625365424,323.6083527670782,1722.8070578966754,156.47278697464264,291.0147057257897,25.09710822179211,104.76529406128431,15.367904579967506,15.062921168366877,16.18041763835391,35.969417627707614,37.017070568320456,11.17263658222452,94.80095053723326,85.69801054213058,0.0018536472695909905,282.5170763185967,0.4148705644826859,26.191323515321077
2022-04-02,3.2337554100249757,9.033096465728512,21.888962105871002,125.60194699125086,14.990749521346881,1.3572925875050834,277.65131043886146,0.02667557198564879,58.528877615570835,50.05452938483584,0.17845021755105425,0.6704978819922196,1303.9786934161186,136.8933175734115,10.61621646487681,25.946871162511414,0.42290257036071766,23.979611751805074,49.28625056171975,54.71076467644847,64.44229643591889,40.322997625365424,323.6083527670782,1722.8070578966754,156.47278697464264,291.0147057257897,25.09710822179211,104.76529406128431,15.367904579967506,15.062921168366877,16.18041763835391,35.969417627707614,37.017070568320456,11.17263658222452,94.80095053723326,85.69801054213058,0.0018536472695909905,282.5170763185967,0.4148705644826859,26.191323515321077
2022-04-03,3.2337554100249757,9.033096465728512,21.888962105871002,125.60194699125086,14.990749521346881,1.3572925875050834,277.65131043886146,0.02667557198564879,58.528877615570835,50.05452938483584,0.17845021755105425,0.6704978819922196,1303.9786934161186,136.8933175734115,10.61621646487681,25.946871162511414,0.42290257036071766,23.979611751805074,49.28625056171975,54.71076467644847,64.44229643591889,40.322997625365424,323.6083527670782,1722.8070578966754,156.47278697464264,291.0147057257897,25.09710822179211,104.76529406128431,15.367904579967506,15.062921168366877,16.18041763835391,35.969417627707614,37.017070568320456,11.17263658222452,94.80095053723326,85.69801054213058,0.0018536472695909905,282.5170763185967,0.4148705644826859,26.191323515321077
2022-04-04,3.206254976492474,9.297116521697424,21.526575418208953,121.04436547197747,15.452762375183154,1.328419289799505,269.36633443059776,0.025777335294877458,57.487549348099726,49.440656319540096,0.17162158860346102,0.6506844998376253,1263.180354793951,132.06906354782896,10.310934117950982,25.247695160511807,0.4157561398089142,23.351901718190135,47.58805241607227,52.509386711787414,61.010906465124414,39.07516699461583,315.7837230303683,1620.5169604689718,147.32179016411007,294.3821699614731,25.2317832251446,100.90440156433952,14.809465559623161,14.820831227742595,16.348377022994594,37.73401815652256,39.42750270631829,10.9155876619049,92.51653849219687,82.69660123700547,0.0017203075265576067,277.0949887518132,0.4087094255748648,28.527826979780606
2022-04-05,3.0368603927830655,8.52515414701424,20.942619138692823,113.22470351503289,14.045281766042265,1.2663556570604575,246.76889519826707,0.024536910823556878,54.975504099522446,47.380530966430314,0.1693290680683443,0.6107135054998284,1199.7528902869087,124.3101131712405,9.674334088971404,23.401277207045183,0.3981490820513669,21.99923252343929,43.91267165239062,49.21831578519874,57.6396147704644,36.68796474814126,293.05217380361455,1553.5377565043696,132.97976145633973,305.0632490319291,23.38998860250729,94.59850602751501,14.185260462312096,14.110755672362025,16.260105976376206,34.791479185775806,36.12127680033921,10.500659941144924,89.17997584932799,79.90074291918272,0.0016612310437958365,266.2981810488161,0.37839402411006,26.054099273449246
2022-04-06,3.053569696875397,8.414120012586322,21.159769262421225,116.77476940544761,13.829663097610279,1.2668704634335188,240.29350805175247,0.02466753849843758,54.245953927298046,47.86407699467475,0.17584107718611008,0.5971128470470417,1191.736309474975,123.06612326101242,9.695021552963908,23.094700034546374,0.39807523136469447,22.63076926462163,43.67738468071975,48.6561539189365,55.26433854420602,36.32238466971772,286.0529235048174,1670.1507717290763,128.33909249966928,304.3838466091609,22.992861572855574,91.6546155217176,13.89529232847768,14.13291540575621,15.886800023764385,32.04516927870423,33.89862928147674,10.478046169519814,88.93892320996301,78.52876934823706,0.0016565723101703033,267.0430773225352,0.36978676978391745,24.837269267922238
2022-04-07,3.0655226800978723,8.457079894147558,20.883901388421858,121.4101810242844,14.065127551469462,1.266986689836369,239.89481551786315,0.024597095062009796,55.13530000176029,47.37134959334915,0.1755327918423389,0.601987459202893,1188.22197554814,123.18801314679013,9.836587604395683,23.219837772169907,0.38819752042055716,23.280599123192253,43.590643307514156,48.72160183829022,56.50805645078371,36.12374839299005,284.2280975600949,1639.656309440104,138.24332567788304,314.49625205085715,23.044304980327567,91.9296736764044,13.84008551064595,14.166396469840043,15.51664871478111,33.19370102146793,34.363919633750186,10.498211204416807,87.99143796199296,76.96437796164089,0.001659009924950926,259.69851511033215,0.36614340041985305,25.666044755921472
