BRL,-10.193415702717505
RUB,-9.425710136984653
ARS,-8.585876882426687
MXN,-8.1363517787545
KZT,-6.9046436482379265
NZD,-4.818096116145103
NOK,-4.560989303906001
HUF,-4.14960287578703
COP,-4.095616762878613
TRY,-3.663137926939549
AUD,-3.3042315962880107
SEK,-2.593661603172848
CAD,-2.1234428496238347
EGP,-2.074701502877262
KRW,-1.918655162826154
CLP,-1.2751709816322596
CZK,-1.1278041814205308
UAH,-0.3591923515292612
DKK,-0.0777514997119817
EUR,-0.07326128446623874
RON,-0.0182765725311728
ZAR,0.31459021734983833
PLN,0.41854361887451175
INR,1.1551557931620497
TWD,2.046452188481866
GBP,2.204909789911838
CHF,2.394069330188576
CNY,2.626835803706706
KWD,2.690283407010908
SGD,2.7064014084196173
ISK,2.906962546011459
SAR,3.087837055395013
PKR,3.0908219944106774
AED,3.1377143358928246
QAR,3.1593417977768943
USD,3.159341797777189
VND,3.2201668813817275
HKD,3.7155925035092627
PHP,3.818027360037409
IDR,4.427328766133966
JPY,4.803666201727178
ILS,4.921881284475664
PEN,5.185438878430487
MYR,8.323634859121482
THB,10.590439332843644
