Date,GC=F,SI=F,PL=F,CL=F,HG=F,ALI=F,ZN=F,ZW=F,ZC=F,ZS=F,KC=F,SB=F,NG=F
2011-07-22,18775.987926298367,470.34357162286295,21074.179096808646,1171.022237301186,51.64481136758338,25476.50441697048,1457.8050975566255,8116.95325400889,8090.570957408645,16184.073281106206,2831.6998350930257,367.47607976769575,51.580323187849416
2011-07-23,18775.987926298367,470.34357162286295,21074.179096808646,1171.022237301186,51.64481136758338,25476.50441697048,1457.8050975566255,8116.95325400889,8090.570957408645,16184.073281106206,2831.6998350930257,367.47607976769575,51.580323187849416
2011-07-24,18775.987926298367,470.34357162286295,21074.179096808646,1171.022237301186,51.64481136758338,25476.50441697048,1457.8050975566255,8116.95325400889,8090.570957408645,16184.073281106206,2831.6998350930257,367.47607976769575,51.580323187849416
2011-07-25,18864.004168750645,472.23202602531927,20980.938917307696,1160.86175928765,51.507393668997146,25426.032914176776,1452.5400232296363,8056.989373563783,7942.892574156017,15979.403035005585,2842.473013308181,359.7267269415427,51.32600820999962
2011-07-26,18967.753962026705,477.4322182442059,21191.179317765233,1168.5009131164818,52.493957734480276,25493.126341323958,1461.1395189013917,8142.782041596513,8092.916301428236,16226.898506524465,2874.026565186264,363.0225946912261,51.27371266557538
2011-07-27,18862.90389870222,473.6516212284692,21104.261000052727,1137.6141600718906,51.86422331930646,25377.321638331425,1451.034722315996,8231.35078799405,8076.593217308103,16068.507763863518,2817.171741673041,363.5926826849667,51.04079744807471
2011-07-28,18896.742330225596,465.90646404633236,20993.257035770373,1141.2536202610447,52.28988714489529,25448.057689790006,1458.190395756003,8119.602344239752,7990.766245016331,16019.597701166853,2795.1576630287736,350.43419078129085,49.70730906345681
2011-07-29,19077.575397288292,469.7280057998533,20917.027124585034,1121.245380183038,52.41851583327331,25456.48879289168,1472.586553978402,7879.180169471708,7797.166398190961,15866.735679564403,2806.62845151271,349.26149686842444,48.56386862777219
2011-07-30,19077.575397288292,469.7280057998533,20917.027124585034,1121.245380183038,52.41851583327331,25456.48879289168,1472.586553978402,7879.180169471708,7797.166398190961,15866.735679564403,2806.62845151271,349.26149686842444,48.56386862777219
2011-07-31,19077.575397288292,469.7280057998533,20917.027124585034,1121.245380183038,52.41851583327331,25456.48879289168,1472.586553978402,7879.180169471708,7797.166398190961,15866.735679564403,2806.62845151271,349.26149686842444,48.56386862777219
2011-08-01,18873.373851291617,458.1135589522694,20920.41769780865,1106.173213854026,51.339304984114705,25328.67389462252,1470.4750916989385,7886.249172574909,7941.621949470298,15839.528548760027,2813.5200087728,337.71564392378053,48.82130543854743
2011-08-02,19198.2257776728,468.6546687132225,20970.837091341033,1096.6572790611933,51.319209765228585,25405.28926133885,1484.4233635972425,8395.350449725598,8316.424801347259,16054.061514586694,2843.661843666698,329.2661105616212,48.58312378833494
2011-08-03,19508.162199633698,489.6039843353051,20934.272583416805,1078.1443613345323,50.66446003023342,25481.759526957347,1489.990987182791,8332.661440065905,8279.885962964854,15996.833503518501,2836.975019695163,324.74510869183143,47.967046532488084
2011-08-04,19401.617186071802,461.76364845879885,20259.122222243583,1014.8303907097768,49.56420945431655,25452.762337790227,1499.4608580081228,7986.386249586232,8126.960705024494,15688.694953807644,2762.8738477593633,325.54702044408714,46.16699389476606
2011-08-05,19537.953631492204,452.626859130058,20370.99382352013,1029.5107396727142,48.738233422392376,25746.65665675868,1505.4802761197275,8046.015358388745,8211.91258227305,15778.010971567914,2820.2528060331683,326.3435498326555,46.70006834261795
2011-08-06,19537.953631492204,452.626859130058,20370.99382352013,1029.5107396727142,48.738233422392376,25746.65665675868,1505.4802761197275,8046.015358388745,8211.91258227305,15778.010971567914,2820.2528060331683,326.3435498326555,46.70006834261795
2011-08-07,19537.953631492204,452.626859130058,20370.99382352013,1029.5107396727142,48.738233422392376,25746.65665675868,1505.4802761197275,8046.015358388745,8211.91258227305,15778.010971567914,2820.2528060331683,326.3435498326555,46.70006834261795
2011-08-08,20171.692549294316,464.4136686896297,20329.744929338118,959.0459120361585,46.67844413419989,25627.43903509474,1516.5702725505882,7743.373018773304,7964.527998365077,15442.515041628252,2762.3730957590383,318.22726656796476,46.41305770874881
2011-08-09,20670.356620978724,449.9603879446431,20865.180961916325,942.0455994968593,47.12603728340512,25811.216866799725,1542.2951972316112,7980.064402380723,8057.2812518269075,15428.52049511271,2788.7162165372156,326.5678728618597,47.44678360737146
2011-08-10,21083.929436986335,465.4609097106977,20970.30019091647,981.1075339681956,45.98978533468238,25717.23259893775,1539.453487469493,8107.837685086806,8024.983869326796,15396.014407119217,2779.7455909911682,326.9174944035997,47.380543781682555
2011-08-11,20852.82904889447,460.9371570776835,21372.718580026845,1022.1320228828667,47.74997127468553,25908.041543312196,1540.8145176273722,8361.760042456646,8376.665140571542,15903.739688594014,2871.914377556957,334.82812314328834,48.984112079483175
2011-08-12,20686.410306310016,464.80829103941863,21358.04702341223,1014.9440895837507,47.66243248063669,25828.295169625508,1543.8728961708032,8350.88130556296,8341.96577392001,15893.421075498472,2857.1307797320874,330.9445364001653,48.26274394696705
2011-08-13,20686.410306310016,464.80829103941863,21358.04702341223,1014.9440895837507,47.66243248063669,25828.295169625508,1543.8728961708032,8350.88130556296,8341.96577392001,15893.421075498472,2857.1307797320874,330.9445364001653,48.26274394696705
