,0
EGP,-34.650091638649
ARS,-15.422616554510196
BRL,-15.265022005201937
TRY,-11.368029296656939
MXN,-9.244029445839747
HUF,-5.91277367906694
KZT,-4.779542723193813
COP,-4.162244710213075
KRW,-4.071856063654153
UAH,-4.0020415580289095
NZD,-3.5757996047462717
NOK,-3.4832319380270578
CLP,-3.1826322477892397
SEK,-2.9430279940954867
JPY,-2.521394365643595
AUD,-1.2759844408639252
RUB,-0.8904673046806144
CAD,-0.8379290487806665
CZK,-0.6045980074840983
RON,1.6005098170540386
DKK,1.611807586143917
EUR,1.7694948028751978
PHP,2.134598713938759
CHF,2.444736658957026
TWD,2.4580735053409923
IDR,2.985675818981425
VND,3.037429430875051
PLN,3.151004963539853
SGD,4.848915711425109
INR,5.2495778673761935
CNY,5.336214830577054
ISK,5.700860518079918
ILS,5.960800432372976
GBP,6.49496284278213
ZAR,7.118267787303894
PEN,7.2537123847508305
KWD,7.611185053740066
SAR,7.6529608246824035
AED,7.681823322081029
USD,7.716137444884709
QAR,7.716137444884823
HKD,8.274845079077053
THB,9.10398811767399
PKR,9.37717616789278
MYR,11.18697741830099
