,0
ARS,-80.78257211169444
EGP,-45.11115980700302
TRY,-40.42383488330826
RUB,-22.420764374643717
PKR,-8.697235762304913
BRL,-5.923688269549294
JPY,-4.794340089098524
NOK,-2.458126415678891
KRW,-0.921977595462661
UAH,-0.8062706805046052
CLP,0.18577141189734464
KZT,0.6341314959387209
NZD,1.10273855683035
ZAR,2.847364898217517
VND,4.432968079373236
AUD,4.6338445426262656
TWD,6.111358974010591
CZK,6.285509428202267
CAD,6.422255055433264
PHP,6.5907184195441655
SEK,6.931872191484552
HUF,7.295321104364391
ILS,7.82589763126382
CNY,7.920401875509017
MXN,8.217590302601517
IDR,8.585783964704063
RON,9.071960217845797
INR,9.446572551861456
DKK,10.12147869955829
EUR,10.3146539010924
MYR,11.20038037294041
SGD,11.964301990156995
KWD,12.222679754070414
AED,12.744745398519164
USD,12.772072768532153
QAR,12.772072768532237
SAR,12.94344062104647
HKD,13.196183540852639
THB,14.85249460877163
PEN,15.077742729616492
ISK,16.172194988437038
CHF,16.853144029246288
GBP,17.334317250294166
PLN,19.839005465796316
COP,21.438313671333873
